currency,value
ADA,0.39350000
ATOM,10.85975000
AVAX,17.29000000
BCH,119.55750000
BTC,27.650.74750000
CHZ,0.12075000
DAI,0.90662500
DOGE,0.08033750
DOT,6.07675000
ETH,1.879.67000000
ETHW,3.17500000
EUR,1.00000000
EURN,0.00000000
FDZ,0.00050000
GBP,1.13071009
GUSD,0.90710000
LINDEN,0.00000000
LINK,6.87850000
LTC,86.71750000
LUNA,1.27666667
LUNC,0.00011380
MANA,0.57137500
MATIC,1.04705000
NMC,0.00000000
NOKU,0.00000000
PHI,0.05300000
PPC,0.45160000
SAC,0.02503000
SAND,0.60665000
SEED,0.00620000
SGB,0.00869333
SOL,22.33000000
UNI,5.68500000
USD,0.90440445
USDC,0.90310000
USDT,0.90415000
XRA,0.00840000
XRP,0.46970000
ZEC,37.75000000
